Date,Time,amdno,wbgt,dt_popup,lat,long,kjName,guideline
2023/8/24,9:00,32287,32.2,8月24日 9時時点,40.0,139.95,大潟,危険
2023/8/24,9:00,32296,32.1,8月24日 9時時点,39.93833333333333,140.115,五城目,危険
2023/8/24,9:00,32311,31.2,8月24日 9時時点,39.99333333333333,140.40333333333334,阿仁合,危険
2023/8/24,9:00,32402,31.5,8月24日 9時時点,39.71666666666667,140.09833333333333,秋田,危険
2023/8/24,9:00,32407,31.3,8月24日 9時時点,39.70666666666666,140.28666666666666,岩見三内,危険
2023/8/24,9:00,32466,31.8,8月24日 9時時点,39.60333333333333,140.55666666666667,角館,危険
2023/8/24,9:00,32476,30.2,8月24日 9時時点,39.69833333333333,140.73166666666665,田沢湖,厳重警戒
2023/8/24,9:00,32496,30.3,8月24日 9時時点,39.526666666666664,140.23333333333332,大正寺,厳重警戒
2023/8/24,9:00,32551,31.5,8月24日 9時時点,39.49,140.495,大曲,危険
2023/8/24,9:00,32571,30.6,8月24日 9時時点,39.36,140.055,本荘,厳重警戒
2023/8/24,9:00,32581,30.8,8月24日 9時時点,39.305,140.28833333333333,東由利,厳重警戒
2023/8/24,9:00,32596,32.9,8月24日 9時時点,39.32,140.555,横手,危険
2023/8/24,9:00,32616,31.4,8月24日 9時時点,39.255,139.91333333333333,にかほ,危険
2023/8/24,9:00,32626,29.7,8月24日 9時時点,39.235,140.13666666666666,矢島,厳重警戒
2023/8/24,9:00,32691,31.0,8月24日 9時時点,39.18666666666667,140.46333333333334,湯沢,危険
2023/8/24,9:00,32771,29.5,8月24日 9時時点,38.96,140.52833333333334,湯の岱,厳重警戒
2023/8/24,9:00,33006,30.7,8月24日 9時時点,40.403333333333336,141.7,種市,厳重警戒
2023/8/24,9:00,33026,31.0,8月24日 9時時点,40.325,141.46666666666667,軽米,危険
2023/8/24,9:00,33071,30.7,8月24日 9時時点,40.29833333333333,141.29833333333335,二戸,厳重警戒
2023/8/24,9:00,33136,31.0,8月24日 9時時点,40.14833333333333,141.57166666666666,山形,危険
2023/8/24,9:00,33146,32.0,8月24日 9時時点,40.16833333333334,141.74833333333333,久慈,危険
2023/8/24,9:00,33166,29.9,8月24日 9時時点,40.10333333333333,141.05,荒屋,厳重警戒
2023/8/24,9:00,33176,28.1,8月24日 9時時点,40.06,141.225,奥中山,厳重警戒
2023/8/24,9:00,33186,28.5,8月24日 9時時点,40.04,141.45666666666668,葛巻,厳重警戒
2023/8/24,9:00,33206,30.7,8月24日 9時時点,40.00333333333333,141.88333333333333,普代,厳重警戒
2023/8/24,9:00,33226,29.1,8月24日 9時時点,39.95166666666667,141.065,岩手松尾,厳重警戒
2023/8/24,9:00,33296,29.5,8月24日 9時時点,39.86833333333333,141.16666666666666,好摩,厳重警戒
2023/8/24,9:00,33326,31.4,8月24日 9時時点,39.846666666666664,141.795,岩泉,危険
2023/8/24,9:00,33336,30.7,8月24日 9時時点,39.846666666666664,141.96333333333334,小本,厳重警戒
2023/8/24,9:00,33371,24.6,8月24日 9時時点,39.78333333333333,141.32833333333335,薮川,注意
2023/8/24,9:00,33421,27.6,8月24日 9時時点,39.696666666666665,140.975,雫石,警戒
2023/8/24,9:00,33431,27.2,8月24日 9時時点,39.69833333333333,141.165,盛岡,警戒
2023/8/24,9:00,33441,24.1,8月24日 9時時点,39.65,141.35333333333332,区界,注意
2023/8/24,9:00,33472,31.5,8月24日 9時時点,39.64666666666667,141.965,宮古,危険
2023/8/24,9:00,33486,26.4,8月24日 9時時点,39.54833333333333,140.84333333333333,沢内,警戒
2023/8/24,9:00,33501,27.3,8月24日 9時時点,39.54666666666667,141.12666666666667,紫波,警戒
2023/8/24,9:00,33526,31.5,8月24日 9時時点,39.598333333333336,141.68166666666667,川井,危険
