,観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),13日の最高気温(℃),13日の最高気温の品質情報,13日の最高気温起時（時）,13日の最高気温起時（分）,13日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（12日まで）,今年の最高気温（12日まで）の品質情報,今年の最高気温（12日まで）を観測した起日（年）,今年の最高気温（12日まで）を観測した起日（月）,今年の最高気温（12日まで）を観測した起日（日）,12日までの観測史上1位の値（℃）,12日までの観測史上1位の値の品質情報,12日までの観測史上1位の値を観測した起日（年）,12日までの観測史上1位の値を観測した起日（月）,12日までの観測史上1位の値を観測した起日（日）,12日までの11月の1位の値,12日までの11月の1位の値の品質情報,12日までの11月の1位の値の起日（年）,12日までの11月の1位の値の起日（月）,12日までの11月の1位の値の起日（日）,統計開始年,date
44,13321,北海道留萌地方,幌糠（ホロヌカ）,,2024,11,13,6,0,2.2,4,0.0,37.0,4.0,,,,,,,0.0,34.3,5,2024,8,12,35.9,8,2021,8,7,20.5,8,2003,11,3,1977,2024-11-13
45,14026,北海道石狩地方,浜益（ハママス）,,2024,11,13,6,0,7.3,4,0.0,9.0,4.0,,,,,,,0.0,31.0,5,2024,8,30,34.6,8,1989,8,7,20.9,8,2003,11,3,1977,2024-11-13
46,14071,北海道石狩地方,厚田（アツタ）,,2024,11,13,6,0,7.6,4,0.0,23.0,4.0,,,,,,,0.0,33.5,5,2024,7,21,36.1,8,2021,7,28,20.8,8,2003,11,3,1977,2024-11-13
47,14101,北海道石狩地方,新篠津（シンシノツ）,,2024,11,13,6,0,3.9,4,0.0,1.0,4.0,,,,,,,0.0,33.8,5,2024,8,12,35.5,8,2023,8,25,19.6,8,2003,11,2,1978,2024-11-13
48,14116,北海道石狩地方,山口（ヤマグチ）,,2024,11,13,6,0,7.7,4,0.0,2.0,4.0,,,,,,,0.0,34.8,5,2024,7,22,37.1,8,2021,7,28,23.6,8,2023,11,3,1977,2024-11-13
49,14121,北海道石狩地方,石狩（イシカリ）,,2024,11,13,6,0,7.0,4,0.0,12.0,4.0,,,,,,,0.0,34.3,5,2024,7,21,35.4,8,2021,7,28,21.8,8,2003,11,3,1990,2024-11-13
50,14136,北海道石狩地方,江別（エベツ）,,2024,11,13,6,0,5.0,4,0.0,7.0,4.0,,,,,,,0.0,34.7,5,2024,8,12,35.6,8,2021,7,31,19.7,8,2003,11,3,2000,2024-11-13
51,14163,北海道石狩地方,札幌（サッポロ）,47412.0,2024,11,13,6,0,7.7,4,0.0,9.0,4.0,,,,,,,0.0,34.7,5,2024,7,22,36.3,8,2023,8,23,22.4,8,2003,11,3,1876,2024-11-13
52,14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2024,11,13,6,0,6.8,4,0.0,24.0,4.0,,,,,,,0.0,34.0,5,2024,8,12,34.3,8,1999,8,8,20.5,8,2023,11,3,1977,2024-11-13
53,14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2024,11,13,6,0,5.0,4,0.0,43.0,4.0,,,,,,,0.0,30.5,5,2024,8,12,31.9,8,2007,8,14,19.3,8,2023,11,3,1977,2024-11-13
54,14296,北海道石狩地方,千歳（チトセ）,,2024,11,13,6,0,5.8,4,0.0,52.0,4.0,,,,,,,0.0,32.9,5,2024,8,12,34.2,8,2011,8,11,20.4,8,2023,11,3,2003,2024-11-13
55,15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2024,11,13,6,0,1.2,4,0.0,43.0,4.0,,,,,,,0.0,35.1,5,2024,8,13,36.9,8,2021,8,7,19.4,8,2003,11,3,1976,2024-11-13
56,15156,北海道空知地方,秩父別（チップベツ）,,2024,11,13,6,0,1.6,4,0.0,53.0,4.0,,,,,,,0.0,34.3,5,2024,8,13,35.1,8,2023,8,24,17.6,8,2023,11,3,2022,2024-11-13
57,15161,北海道空知地方,深川（フカガワ）,,2024,11,13,6,0,2.6,4,0.0,9.0,4.0,,,,,,,0.0,33.0,5,2024,7,21,36.1,8,2021,8,6,20.9,8,2003,11,3,1977,2024-11-13
58,15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2024,11,13,6,0,1.3,4,0.0,2.0,4.0,,,,,,,0.0,34.2,5,2024,8,12,36.8,8,2021,8,7,20.1,8,2003,11,3,1978,2024-11-13
59,15241,北海道空知地方,滝川（タキカワ）,,2024,11,13,6,0,3.0,4,0.0,4.0,4.0,,,,,,,0.0,34.7,5,2024,8,13,36.0,8,2021,7,28,20.0,8,2003,11,3,1976,2024-11-13
60,15251,北海道空知地方,芦別（アシベツ）,,2024,11,13,6,0,3.2,4,0.0,27.0,4.0,,,,,,,0.0,34.6,5,2024,7,21,37.2,8,2021,7,31,20.9,8,2003,11,3,1978,2024-11-13
61,15311,北海道空知地方,月形（ツキガタ）,,2024,11,13,6,0,3.6,4,0.0,18.0,4.0,,,,,,,0.0,34.6,5,2024,8,12,36.3,8,2021,7,31,19.5,8,2003,11,2,1977,2024-11-13
62,15321,北海道空知地方,美唄（ビバイ）,,2024,11,13,6,0,3.2,4,0.0,1.0,4.0,,,,,,,0.0,34.6,5,2024,8,12,35.6,8,2021,8,6,20.0,8,2003,11,3,1977,2024-11-13
63,15356,北海道空知地方,岩見沢（イワミザワ）,47413.0,2024,11,13,6,0,4.1,4,0.0,1.0,4.0,,,,,,,0.0,34.8,5,2024,8,12,35.7,8,2023,8,25,20.5,8,2023,11,3,1946,2024-11-13
64,15431,北海道空知地方,長沼（ナガヌマ）,,2024,11,13,6,0,5.1,4,0.0,10.0,4.0,,,,,,,0.0,36.3,5,2024,8,12,36.3,8,2024,8,12,20.5,8,2023,11,3,1977,2024-11-13
65,15442,北海道空知地方,夕張（ユウバリ）,,2024,11,13,6,0,3.5,4,0.0,9.0,4.0,,,,,,,0.0,33.0,5,2024,7,21,35.0,8,2021,7,28,19.0,8,2003,11,3,1976,2024-11-13
66,16026,北海道後志地方,美国（ビクニ）,,2024,11,13,6,0,5.5,4,0.0,45.0,4.0,,,,,,,0.0,32.8,5,2024,8,3,35.2,8,2023,8,31,20.8,8,2023,11,3,1977,2024-11-13
67,16061,北海道後志地方,神恵内（カモエナイ）,,2024,11,13,6,0,6.1,4,0.0,31.0,4.0,,,,,,,0.0,32.3,5,2024,7,21,33.5,8,2021,7,28,19.6,8,2003,11,3,1977,2024-11-13
68,16076,北海道後志地方,余市（ヨイチ）,,2024,11,13,6,0,6.7,4,0.0,2.0,4.0,,,,,,,0.0,33.5,5,2024,7,21,34.9,8,1984,8,16,21.0,8,2003,11,3,1977,2024-11-13
69,16091,北海道後志地方,小樽（オタル）,47411.0,2024,11,13,6,0,7.1,4,0.0,1.0,4.0,,,,,,,0.0,32.7,5,2024,8,30,36.2,8,2021,7,28,21.8,8,2003,11,3,1943,2024-11-13
70,16156,北海道後志地方,共和（キョウワ）,,2024,11,13,6,0,6.1,4,1.0,7.0,4.0,,,,,,,0.0,34.3,5,2024,7,21,35.0,8,2023,8,10,21.7,8,2023,11,3,1977,2024-11-13
71,16206,北海道後志地方,蘭越（ランコシ）,,2024,11,13,6,0,6.7,4,0.0,20.0,4.0,,,,,,,0.0,33.6,5,2024,8,12,35.4,8,2023,8,23,22.0,8,2023,11,3,1977,2024-11-13
72,16217,北海道後志地方,倶知安（クッチャン）,47433.0,2024,11,13,6,0,4.4,4,0.0,56.0,4.0,,,,,,,0.0,33.0,5,2024,8,12,34.6,8,2023,8,23,20.0,8,2023,11,3,1944,2024-11-13
73,16252,北海道後志地方,寿都（スッツ）,47421.0,2024,11,13,6,0,7.3,4,0.0,1.0,4.0,,,,,,,0.0,30.8,5,2024,7,22,34.0,8,1904,8,20,22.5,8,2023,11,3,1884,2024-11-13
74,16281,北海道後志地方,真狩（マッカリ）,,2024,11,13,6,0,2.8,4,0.0,7.0,4.0,,,,,,,0.0,30.0,5,2024,8,11,32.3,8,2021,7,27,18.2,8,2023,11,3,1978,2024-11-13
75,16286,北海道後志地方,喜茂別（キモベツ）,,2024,11,13,6,0,3.5,4,0.0,28.0,4.0,,,,,,,0.0,31.3,5,2024,8,12,34.5,8,2023,8,25,19.3,8,2023,11,3,1977,2024-11-13
76,16321,北海道後志地方,黒松内（クロマツナイ）,,2024,11,13,6,0,6.9,4,0.0,3.0,4.0,,,,,,,0.0,33.2,5,2024,7,22,34.5,8,2021,7,18,21.9,8,2023,11,3,1977,2024-11-13
77,17036,北海道網走・北見・紋別地方,雄武（オウム）,47405.0,2024,11,13,6,0,2.1,4,0.0,8.0,4.0,,,,,,,0.0,32.9,5,2024,8,23,35.3,8,2023,8,17,21.5,8,2023,11,3,1942,2024-11-13
78,17076,北海道網走・北見・紋別地方,興部（オコッペ）,,2024,11,13,6,0,1.8,4,0.0,33.0,4.0,,,,,,,0.0,32.2,5,2024,7,23,34.3,8,1999,8,9,21.8,8,2003,11,3,1977,2024-11-13
79,17091,北海道網走・北見・紋別地方,西興部（ニシオコッペ）,,2024,11,13,6,0,0.8,4,1.0,13.0,4.0,,,,,,,0.0,32.8,5,2024,7,21,36.4,8,1978,8,3,21.2,8,2003,11,3,1977,2024-11-13
80,17112,北海道網走・北見・紋別地方,紋別（モンベツ）,47435.0,2024,11,13,6,0,2.6,4,0.0,40.0,4.0,,,,,,,0.0,34.1,5,2024,8,23,37.0,8,2019,5,26,22.5,8,2023,11,3,1956,2024-11-13
81,17116,北海道網走・北見・紋別地方,紋別小向（モンベツコムカイ）,,2024,11,13,6,0,2.5,4,0.0,45.0,4.0,,,,,,,0.0,33.4,5,2024,8,23,37.2,8,2019,5,26,22.7,8,2023,11,3,2003,2024-11-13
82,17166,北海道網走・北見・紋別地方,湧別（ユウベツ）,,2024,11,13,6,0,3.2,4,1.0,19.0,4.0,,,,,,,0.0,34.8,5,2024,7,22,38.5,8,2019,5,26,22.3,8,2003,11,3,1977,2024-11-13
83,17196,北海道網走・北見・紋別地方,滝上（タキノウエ）,,2024,11,13,6,0,1.2,4,3.0,10.0,4.0,,,,,,,0.0,36.0,5,2024,7,21,37.7,8,1978,8,3,22.1,8,2003,11,3,1977,2024-11-13
84,17246,北海道網走・北見・紋別地方,常呂（トコロ）,,2024,11,13,6,0,4.0,4,0.0,13.0,4.0,,,,,,,0.0,34.2,5,2024,7,21,36.9,8,1994,8,7,20.9,8,2003,11,3,1977,2024-11-13
85,17306,北海道網走・北見・紋別地方,遠軽（エンガル）,,2024,11,13,6,0,1.9,4,2.0,1.0,4.0,,,,,,,0.0,35.7,5,2024,7,21,37.7,8,2019,5,26,22.8,8,2003,11,3,1977,2024-11-13
86,17316,北海道網走・北見・紋別地方,佐呂間（サロマ）,,2024,11,13,6,0,2.3,4,0.0,16.0,4.0,,,,,,,0.0,36.0,5,2024,7,23,39.5,8,2019,5,26,22.0,8,2003,11,3,1977,2024-11-13
87,17341,北海道網走・北見・紋別地方,網走（アバシリ）,47409.0,2024,11,13,6,0,3.5,4,3.0,24.0,4.0,,,,,,,0.0,33.5,5,2024,7,22,37.6,8,1994,8,7,21.7,8,1979,11,5,1889,2024-11-13
88,17351,北海道網走・北見・紋別地方,宇登呂（ウトロ）,,2024,11,13,6,0,3.3,4,0.0,59.0,4.0,,,,,,,0.0,33.1,5,2024,7,22,35.3,8,2020,8,11,22.8,8,2023,11,6,1978,2024-11-13
89,17482,北海道網走・北見・紋別地方,白滝（シラタキ）,,2024,11,13,6,0,0.1,4,0.0,50.0,4.0,,,,,,,0.0,34.1,5,2024,7,21,34.1,8,2024,7,21,20.7,8,2023,11,3,1993,2024-11-13
90,17501,北海道網走・北見・紋別地方,生田原（イクタハラ）,,2024,11,13,6,0,1.2,4,4.0,22.0,4.0,,,,,,,0.0,35.4,5,2024,7,21,37.0,8,2019,5,26,22.7,8,2015,11,4,1977,2024-11-13
91,17521,北海道網走・北見・紋別地方,北見（キタミ）,,2024,11,13,6,0,2.4,4,1.0,3.0,4.0,,,,,,,0.0,35.0,5,2024,7,23,38.1,8,2019,5,26,22.0,8,1979,11,5,1976,2024-11-13
92,17531,北海道網走・北見・紋別地方,女満別（メマンベツ）,,2024,11,13,6,0,2.8,4,1.0,8.0,4.0,,,,,,,0.0,35.8,5,2024,7,23,37.7,8,2019,5,26,20.9,8,2003,11,3,2003,2024-11-13
93,17546,北海道網走・北見・紋別地方,小清水（コシミズ）,,2024,11,13,6,0,3.3,4,1.0,10.0,4.0,,,,,,,0.0,34.9,5,2024,7,22,36.7,8,2019,5,26,21.7,8,1979,11,5,1977,2024-11-13
94,17561,北海道網走・北見・紋別地方,斜里（シャリ）,,2024,11,13,6,0,4.3,4,1.0,13.0,4.0,,,,,,,0.0,34.7,5,2024,7,22,37.1,8,2023,8,26,21.5,8,1979,11,5,1977,2024-11-13
95,17596,北海道網走・北見・紋別地方,留辺蘂（ルベシベ）,,2024,11,13,6,0,1.6,4,0.0,48.0,4.0,,,,,,,0.0,34.0,5,2024,7,21,36.4,8,2019,5,26,21.1,8,2003,11,3,1978,2024-11-13
96,17607,北海道網走・北見・紋別地方,境野（サカイノ）,,2024,11,13,6,0,1.5,4,1.0,12.0,4.0,,,,,,,0.0,35.2,5,2024,7,21,37.4,8,2021,7,18,21.3,8,1979,11,5,1977,2024-11-13
97,17631,北海道網走・北見・紋別地方,美幌（ビホロ）,,2024,11,13,6,0,2.3,4,1.0,32.0,4.0,,,,,,,0.0,36.2,5,2024,7,23,37.4,8,2019,5,26,21.0,8,1979,11,5,1977,2024-11-13
98,17717,北海道網走・北見・紋別地方,津別（ツベツ）,,2024,11,13,6,0,2.2,4,1.0,39.0,4.0,,,,,,,0.0,35.6,5,2024,7,22,38.0,8,2019,5,26,20.8,8,2015,11,5,1988,2024-11-13
99,18038,北海道根室地方,羅臼（ラウス）,,2024,11,13,6,0,4.6,4,1.0,52.0,4.0,,,,,,,0.0,32.7,5,2024,7,23,32.7,8,2024,7,23,19.2,8,2020,11,7,2005,2024-11-13
100,18136,北海道根室地方,標津（シベツ）,,2024,11,13,6,0,5.2,4,0.0,26.0,4.0,,,,,,,0.0,33.8,5,2024,7,22,35.0,8,2010,8,6,20.0,8,2023,11,10,1977,2024-11-13
101,18161,北海道根室地方,上標津（カミシベツ）,,2024,11,13,6,0,3.2,4,0.0,1.0,4.0,,,,,,,0.0,32.4,5,2024,7,23,35.2,8,2019,5,26,19.3,8,2018,11,4,2003,2024-11-13
102,18171,北海道根室地方,中標津（ナカシベツ）,,2024,11,13,6,0,5.6,4,0.0,1.0,4.0,,,,,,,0.0,34.1,5,2024,7,23,36.5,8,2019,5,26,19.6,8,2018,11,4,1977,2024-11-13
