観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),10日の最高気温(℃),10日の最高気温の品質情報,10日の最高気温起時（時）,10日の最高気温起時（分）,10日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（9日まで）,今年の最高気温（9日まで）の品質情報,今年の最高気温（9日まで）を観測した起日（年）,今年の最高気温（9日まで）を観測した起日（月）,今年の最高気温（9日まで）を観測した起日（日）,9日までの観測史上1位の値（℃）,9日までの観測史上1位の値の品質情報,9日までの観測史上1位の値を観測した起日（年）,9日までの観測史上1位の値を観測した起日（月）,9日までの観測史上1位の値を観測した起日（日）,9日までの6月の1位の値,9日までの6月の1位の値の品質情報,9日までの6月の1位の値の起日（年）,9日までの6月の1位の値の起日（月）,9日までの6月の1位の値の起日（日）,統計開始年,date
14116,北海道石狩地方,山口（ヤマグチ）,,2024,6,10,,,26.7,8,12,1,8,5.7,5.1,7.0,3.0,,,0,29.5,4,2024,4,27,37.1,8,2021,7,28,33.3,8,2014,6,4,1977,2024-06-10
14121,北海道石狩地方,石狩（イシカリ）,,2024,6,10,,,23.6,8,11,32,8,3.5,1.1,7.0,1.0,,,0,26.3,4,2024,6,8,35.4,8,2021,7,28,32.4,8,2014,6,4,1990,2024-06-10
14136,北海道石狩地方,江別（エベツ）,,2024,6,10,,,21.5,8,15,13,8,1.3,-1.5,6.0,3.0,,,0,25.7,4,2024,4,15,35.6,8,2021,7,31,31.7,8,2014,6,3,2000,2024-06-10
14163,北海道石狩地方,札幌（サッポロ）,47412.0,2024,6,10,,,26.1,8,15,55,8,5.0,5.9,7.0,3.0,,,0,27.9,4,2024,4,27,36.3,8,2023,8,23,33.7,8,2014,6,4,1876,2024-06-10
14206,北海道石狩地方,恵庭島松（エニワシママツ）,,2024,6,10,,,21.8,8,14,10,8,2.2,-0.5,6.0,3.0,,,0,25.1,4,2024,4,15,34.3,8,1999,8,8,31.1,8,2014,6,3,1977,2024-06-10
14286,北海道石狩地方,支笏湖畔（シコツコハン）,,2024,6,10,,,21.7,8,15,25,8,3.7,6.1,7.0,2.0,,,0,23.8,4,2024,4,15,31.9,8,2007,8,14,30.0,8,2010,6,26,1977,2024-06-10
14296,北海道石狩地方,千歳（チトセ）,,2024,6,10,,,18.6,8,15,5,8,-0.7,-4.4,5.0,3.0,,,0,24.0,4,2024,5,19,34.2,8,2011,8,11,31.4,8,2010,6,26,2003,2024-06-10
15116,北海道空知地方,石狩沼田（イシカリヌマタ）,,2024,6,10,,,25.5,8,14,30,8,4.0,-1.2,7.0,2.0,,,0,28.1,4,2024,6,8,36.9,8,2021,8,7,35.3,8,2014,6,4,1976,2024-06-10
15156,北海道空知地方,秩父別（チップベツ）,,2024,6,10,,,24.2,8,15,30,8,,-0.3,,,,,0,27.0,4,2024,6,8,35.1,8,2023,8,24,29.8,8,2023,6,27,2022,2024-06-10
15161,北海道空知地方,深川（フカガワ）,,2024,6,10,,,23.3,8,14,8,8,2.1,-1.6,6.0,3.0,,,0,26.5,4,2024,6,8,36.1,8,2021,8,6,33.6,8,2014,6,4,1977,2024-06-10
