,temp,year,date
723,12.68,1980,12/24
724,12.63,1980,12/25
725,12.84,1980,12/26
726,12.62,1980,12/27
727,12.69,1980,12/28
728,12.76,1980,12/29
729,12.76,1980,12/30
730,12.78,1980,12/31
731,12.81,1981,1/1
732,12.97,1981,1/2
733,12.77,1981,1/3
734,12.76,1981,1/4
735,12.77,1981,1/5
736,13.0,1981,1/6
737,12.79,1981,1/7
738,12.68,1981,1/8
739,12.67,1981,1/9
740,12.71,1981,1/10
741,12.69,1981,1/11
742,12.71,1981,1/12
743,12.74,1981,1/13
744,12.79,1981,1/14
745,12.76,1981,1/15
746,12.79,1981,1/16
747,12.8,1981,1/17
748,12.82,1981,1/18
749,12.86,1981,1/19
750,12.89,1981,1/20
751,12.78,1981,1/21
752,12.77,1981,1/22
753,12.8,1981,1/23
754,12.79,1981,1/24
755,12.73,1981,1/25
756,12.64,1981,1/26
757,12.63,1981,1/27
758,12.64,1981,1/28
759,12.65,1981,1/29
760,12.65,1981,1/30
761,12.76,1981,1/31
762,12.75,1981,2/1
763,12.65,1981,2/2
764,12.6,1981,2/3
765,12.63,1981,2/4
766,12.71,1981,2/5
767,12.77,1981,2/6
768,13.04,1981,2/7
769,12.98,1981,2/8
770,12.9,1981,2/9
771,12.82,1981,2/10
772,12.75,1981,2/11
773,12.68,1981,2/12
774,12.71,1981,2/13
775,12.78,1981,2/14
776,12.8,1981,2/15
777,13.06,1981,2/16
778,13.11,1981,2/17
779,12.91,1981,2/18
780,12.89,1981,2/19
781,12.9,1981,2/20
782,12.94,1981,2/21
783,12.93,1981,2/22
784,12.92,1981,2/23
785,12.96,1981,2/24
786,12.95,1981,2/25
787,12.94,1981,2/26
788,12.96,1981,2/27
789,13.04,1981,2/28
790,13.34,1981,3/1
791,13.19,1981,3/2
792,13.21,1981,3/3
793,13.28,1981,3/4
794,13.29,1981,3/5
795,13.29,1981,3/6
796,13.33,1981,3/7
797,13.35,1981,3/8
798,13.36,1981,3/9
799,13.38,1981,3/10
800,13.4,1981,3/11
801,13.45,1981,3/12
802,13.5,1981,3/13
803,13.5,1981,3/14
804,13.51,1981,3/15
805,13.6,1981,3/16
806,13.6,1981,3/17
807,13.67,1981,3/18
808,13.71,1981,3/19
809,13.74,1981,3/20
810,13.72,1981,3/21
811,13.72,1981,3/22
812,13.75,1981,3/23
813,13.84,1981,3/24
814,13.85,1981,3/25
815,13.93,1981,3/26
816,13.86,1981,3/27
817,13.94,1981,3/28
818,14.0,1981,3/29
819,14.03,1981,3/30
820,14.02,1981,3/31
821,13.97,1981,4/1
822,14.03,1981,4/2
823,14.07,1981,4/3
824,14.04,1981,4/4
825,14.04,1981,4/5
826,14.06,1981,4/6
827,14.14,1981,4/7
828,14.19,1981,4/8
829,14.21,1981,4/9
830,14.17,1981,4/10
831,14.19,1981,4/11
832,14.27,1981,4/12
833,14.29,1981,4/13
834,14.28,1981,4/14
835,14.39,1981,4/15
836,14.42,1981,4/16
837,14.39,1981,4/17
838,14.45,1981,4/18
839,14.46,1981,4/19
840,14.54,1981,4/20
841,14.63,1981,4/21
842,14.68,1981,4/22
843,14.7,1981,4/23
844,14.77,1981,4/24
845,14.86,1981,4/25
846,14.9,1981,4/26
847,14.91,1981,4/27
848,14.95,1981,4/28
849,14.91,1981,4/29
850,14.81,1981,4/30
851,14.78,1981,5/1
852,14.82,1981,5/2
853,14.85,1981,5/3
854,14.84,1981,5/4
855,14.94,1981,5/5
856,15.02,1981,5/6
857,15.08,1981,5/7
858,15.02,1981,5/8
859,15.0,1981,5/9
860,14.96,1981,5/10
861,14.95,1981,5/11
862,15.03,1981,5/12
863,15.21,1981,5/13
864,15.33,1981,5/14
865,15.41,1981,5/15
866,15.41,1981,5/16
867,15.39,1981,5/17
868,15.43,1981,5/18
869,15.45,1981,5/19
870,15.41,1981,5/20
871,15.45,1981,5/21
872,15.59,1981,5/22
873,15.65,1981,5/23
874,15.71,1981,5/24
875,15.72,1981,5/25
876,15.74,1981,5/26
877,15.84,1981,5/27
878,15.95,1981,5/28
879,15.98,1981,5/29
880,15.93,1981,5/30
881,15.91,1981,5/31
882,15.92,1981,6/1
883,15.91,1981,6/2
884,15.89,1981,6/3
885,15.9,1981,6/4
886,15.92,1981,6/5
887,15.93,1981,6/6
888,16.02,1981,6/7
889,16.13,1981,6/8
890,16.18,1981,6/9
891,16.18,1981,6/10
892,16.15,1981,6/11
893,16.15,1981,6/12
894,16.16,1981,6/13
895,16.1,1981,6/14
896,16.04,1981,6/15
897,16.06,1981,6/16
898,16.04,1981,6/17
899,16.06,1981,6/18
900,16.19,1981,6/19
901,16.22,1981,6/20
902,16.25,1981,6/21
903,16.27,1981,6/22
904,16.23,1981,6/23
905,16.15,1981,6/24
906,16.2,1981,6/25
907,16.25,1981,6/26
908,16.22,1981,6/27
909,16.26,1981,6/28
910,16.32,1981,6/29
911,16.35,1981,6/30
912,16.27,1981,7/1
913,16.2,1981,7/2
914,16.25,1981,7/3
915,16.29,1981,7/4
916,16.27,1981,7/5
917,16.24,1981,7/6
918,16.21,1981,7/7
919,16.22,1981,7/8
920,16.28,1981,7/9
921,16.3,1981,7/10
922,16.35,1981,7/11
923,16.48,1981,7/12
924,16.54,1981,7/13
925,16.52,1981,7/14
926,16.5,1981,7/15
927,16.49,1981,7/16
928,16.43,1981,7/17
929,16.39,1981,7/18
930,16.32,1981,7/19
931,16.24,1981,7/20
932,16.19,1981,7/21
933,16.16,1981,7/22
934,16.15,1981,7/23
935,16.14,1981,7/24
936,16.2,1981,7/25
937,16.22,1981,7/26
938,16.23,1981,7/27
939,16.33,1981,7/28
940,16.46,1981,7/29
941,16.49,1981,7/30
942,16.41,1981,7/31
943,16.36,1981,8/1
944,16.43,1981,8/2
945,16.47,1981,8/3
946,16.48,1981,8/4
947,16.46,1981,8/5
948,16.54,1981,8/6
949,16.59,1981,8/7
950,16.48,1981,8/8
951,16.39,1981,8/9
952,16.37,1981,8/10
953,16.38,1981,8/11
954,16.38,1981,8/12
955,16.37,1981,8/13
956,16.38,1981,8/14
957,16.41,1981,8/15
958,16.51,1981,8/16
959,16.5,1981,8/17
960,16.39,1981,8/18
961,16.32,1981,8/19
962,16.29,1981,8/20
963,16.18,1981,8/21
964,16.14,1981,8/22
965,16.11,1981,8/23
966,16.09,1981,8/24
967,16.11,1981,8/25
968,16.1,1981,8/26
969,16.02,1981,8/27
970,15.92,1981,8/28
971,15.86,1981,8/29
972,15.8,1981,8/30
973,15.81,1981,8/31
974,15.8,1981,9/1
975,15.81,1981,9/2
976,15.78,1981,9/3
977,15.78,1981,9/4
978,15.77,1981,9/5
979,15.79,1981,9/6
980,15.81,1981,9/7
981,15.8,1981,9/8
982,15.83,1981,9/9
983,15.82,1981,9/10
984,15.78,1981,9/11
985,15.73,1981,9/12
986,15.64,1981,9/13
987,15.53,1981,9/14
988,15.55,1981,9/15
989,15.63,1981,9/16
990,15.64,1981,9/17
991,15.58,1981,9/18
992,15.55,1981,9/19
993,15.53,1981,9/20
994,15.5,1981,9/21
995,15.46,1981,9/22
996,15.4,1981,9/23
997,15.33,1981,9/24
998,15.31,1981,9/25
999,15.26,1981,9/26
1000,15.23,1981,9/27
1001,15.16,1981,9/28
1002,15.1,1981,9/29
1003,14.98,1981,9/30
1004,14.95,1981,10/1
1005,14.86,1981,10/2
1006,14.73,1981,10/3
1007,14.65,1981,10/4
1008,14.75,1981,10/5
1009,14.87,1981,10/6
1010,14.89,1981,10/7
1011,14.78,1981,10/8
1012,14.66,1981,10/9
1013,14.64,1981,10/10
1014,14.61,1981,10/11
1015,14.55,1981,10/12
1016,14.51,1981,10/13
1017,14.47,1981,10/14
1018,14.49,1981,10/15
1019,14.5,1981,10/16
1020,14.39,1981,10/17
